"filename", "language", "JSON", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/apartments.jsx", "JavaScript JSX", 0, 46, 0, 0, 13, 9, 68
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/contact.jsx", "JavaScript JSX", 0, -6, 0, 0, 6, -1, -1
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/footer.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, 0, -1
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/full_screen_galery.jsx", "JavaScript JSX", 0, 56, 0, 0, 6, 12, 74
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/header.jsx", "JavaScript JSX", 0, 41, 0, 0, 6, 6, 53
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/location.jsx", "JavaScript JSX", 0, -1, 0, 0, 1, 0, 0
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/photo_library.jsx", "JavaScript JSX", 0, -239, 0, 0, -2, -90, -331
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Apartments.css", "CSS", 0, 0, -36, 0, 0, -5, -41
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Apartments.module.css", "CSS", 0, 0, 130, 0, 3, 26, 159
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/ApartmentsDialog.css", "CSS", 0, 0, -73, 0, 0, -12, -85
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Contact.css", "CSS", 0, 0, -42, 0, -3, -17, -62
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Contact.module.css", "CSS", 0, 0, 77, 0, 4, 22, 103
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Footer.css", "CSS", 0, 0, 0, 0, 0, -1, -1
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Footer.module.css", "CSS", 0, 0, 12, 0, 0, 1, 13
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/FullScreenGallery.module.css", "CSS", 0, 0, 50, 0, 0, 9, 59
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Header.css", "CSS", 0, 0, -4, 0, 0, 0, -4
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Header.module.css", "CSS", 0, 0, 30, 0, 0, 3, 33
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Index.css", "CSS", 0, 0, 8, 0, 0, 3, 11
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/LazyHashedImage.css", "CSS", 0, 0, 1, 0, 0, 0, 1
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Map.module.css", "CSS", 0, 0, -1, 0, 0, 0, -1
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/PhotoLibrary.module.css", "CSS", 0, 0, 99, 0, 14, 35, 148
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Photo_library.css", "CSS", 0, 0, 0, 0, -206, -14, -220
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Questions.css", "CSS", 0, 0, -77, 0, 0, -19, -96
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Questions.module.css", "CSS", 0, 0, 101, 0, 0, 24, 125
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/data/DataApartments.json", "JSON", 213, 0, 0, 0, 0, 0, 213
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/data/QAData.json", "JSON", -51, 0, 0, 0, 0, 0, -51
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/js/gallery.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/pages/index.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 2, 5
"Total", "-", 162, -101, 275, 1, -158, -7, 172